epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.59659,0.665,0.48543,0.53866,9.938441702975689e-05,166.1
2,1.29476,0.72383,0.47601,0.52539,9.755282581475769e-05,165.9
3,1.14818,0.73081,0.55047,0.60693,9.45503262094184e-05,152.9
4,1.06165,0.71286,0.54972,0.62314,9.045084971874738e-05,154.6
5,0.96863,0.70788,0.53744,0.64952,8.535533905932738e-05,144.0
6,0.95587,0.7338,0.58444,0.67045,7.938926261462366e-05,104.1
7,0.86107,0.73679,0.60635,0.64742,7.269952498697734e-05,104.5
8,0.80865,0.69192,0.62308,0.66523,6.545084971874738e-05,104.3
9,0.72387,0.75573,0.64145,0.6728,5.782172325201156e-05,104.1
10,0.68795,0.72682,0.62925,0.73143,5.000000000000001e-05,104.0
11,0.56549,0.77468,0.70546,0.73596,4.217827674798848e-05,102.0
12,0.54778,0.79761,0.6904,0.74487,3.454915028125264e-05,112.5
13,0.48913,0.76271,0.67513,0.7533,2.730047501302267e-05,107.2
14,0.40672,0.82054,0.73093,0.78153,2.0610737385376356e-05,104.4
15,0.34512,0.7986,0.73521,0.76141,1.464466094067263e-05,103.4
16,0.32036,0.7996,0.73126,0.74783,9.549150281252635e-06,101.4
17,0.27837,0.80957,0.73539,0.76151,5.4496737905816115e-06,97.3
18,0.23985,0.81954,0.73858,0.76437,2.4471741852423237e-06,97.3
19,0.22031,0.81057,0.73499,0.76313,6.155829702431171e-07,97.1
20,0.19991,0.81755,0.7277,0.74667,0.0,97.1
