epoch,train_loss,val_acc,val_f1_macro,val_balanced_acc,lr,epoch_seconds
1,1.17705,0.6321,0.50028,0.64525,9.938441702975689e-05,27.5
2,0.83025,0.668,0.54453,0.69419,9.755282581475769e-05,24.7
3,0.73079,0.65304,0.59737,0.73985,9.45503262094184e-05,24.4
4,0.64692,0.68395,0.58188,0.72197,9.045084971874738e-05,24.7
5,0.56395,0.75872,0.64081,0.77746,8.535533905932738e-05,24.3
6,0.46599,0.77168,0.67522,0.77814,7.938926261462366e-05,25.0
7,0.40512,0.80259,0.66466,0.76226,7.269952498697734e-05,24.3
8,0.40073,0.7677,0.69922,0.7855,6.545084971874738e-05,23.8
9,0.37241,0.80558,0.73495,0.79161,5.782172325201156e-05,24.4
10,0.29172,0.83848,0.75498,0.81297,5.000000000000001e-05,24.1
11,0.2606,0.81555,0.73028,0.79701,4.217827674798848e-05,24.4
12,0.22028,0.82253,0.74279,0.82198,3.454915028125264e-05,24.0
13,0.19072,0.82453,0.74747,0.80859,2.730047501302267e-05,24.4
14,0.17876,0.82752,0.75991,0.80998,2.0610737385376356e-05,24.9
15,0.14989,0.83848,0.76251,0.81257,1.464466094067263e-05,24.5
16,0.14623,0.83151,0.75072,0.81363,9.549150281252635e-06,24.3
17,0.12099,0.84945,0.78535,0.83789,5.4496737905816115e-06,24.4
18,0.12308,0.85244,0.7829,0.82887,2.4471741852423237e-06,25.1
19,0.1179,0.84048,0.77449,0.8323,6.155829702431171e-07,24.5
20,0.11543,0.85244,0.78052,0.84071,0.0,23.9
